127.0.0.1 - - [21/Apr/2022:21:23:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:04 +0900] "GET /clothingStore/memberCre.jsp HTTP/1.1" 200 9527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:04 +0900] "GET /clothingStore/resources/css/project.css HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:04 +0900] "GET /clothingStore/resources/js/jquery-3.4.1.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:12 +0900] "GET /clothingStore/member?user_id= HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:14 +0900] "GET /clothingStore/myPage?user_id= HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:16 +0900] "GET /clothingStore/productList.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:19 +0900] "GET /clothingStore/productList HTTP/1.1" 200 16100
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:19 +0900] "GET /clothingStore/resources/img/cardigan.jpg HTTP/1.1" 200 10631
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:24:19 +0900] "GET /clothingStore/resources/img/jean.jpg HTTP/1.1" 200 15927
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:26:22 +0900] "GET /clothingStore/member?user_id= HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:26:26 +0900] "GET /clothingStore/memberCheck1?user_id=2&user_pw=2 HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:26:27 +0900] "GET /clothingStore/productList.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:26:27 +0900] "GET /clothingStore/productList HTTP/1.1" 200 16204
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:26:29 +0900] "GET /clothingStore/myPage?user_id=2 HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:20 +0900] "GET /clothingStore/productList.jsp?user_id=2 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:20 +0900] "GET /clothingStore/productList HTTP/1.1" 200 16204
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:20 +0900] "GET /clothingStore/resources/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:20 +0900] "GET /clothingStore/resources/img/cardigan.jpg HTTP/1.1" 200 10631
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:20 +0900] "GET /clothingStore/resources/img/jean.jpg HTTP/1.1" 200 15927
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:23 +0900] "GET /clothingStore/productOne?product_idx=2&product_img=cardigan.jpg&likecheck=0&user_id=2 HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:23 +0900] "GET /clothingStore/resources/js/basket.js HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:23 +0900] "GET /clothingStore/resources/css/basket.css HTTP/1.1" 200 4422
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:23 +0900] "GET /clothingStore/resources/css/project.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:24 +0900] "GET /clothingStore/selectMemberLikeOne?user_id=2&product_idx=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:25 +0900] "GET /clothingStore/likeCheck?user_id=2&product_idx=2 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:52:25 +0900] "GET /clothingStore/getProductIdxByLike HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:53:13 +0900] "GET /clothingStore/likeCheckInsert?user_id=2&product_idx=2 HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:53:13 +0900] "GET /clothingStore/productOne?product_idx=2&product_img=cardigan.jpg&likecheck=0&user_id=2 HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:53:13 +0900] "GET /clothingStore/selectMemberLikeOne?user_id=2&product_idx=2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:53:13 +0900] "GET /clothingStore/getProductIdxByLike HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [21/Apr/2022:21:53:13 +0900] "GET /clothingStore/likeCheck?user_id=2&product_idx=2 HTTP/1.1" 200 11
